5F08D187525;F;08;D;187525;76A;F;82;03G;71;1;6;
5F07D187533;F;07;D;187533;65A;M;82;03G;71;1;6;
5F07D187540;F;07;D;187540;65A;V;86; ; ;1;5;
5F08D187560;F;08;D;187560;76A;A;85;03G;71;1;5;
5F07D187579;F;07;D;187579;65A; ; ; ; ; ; ;
5F07D187584;F;07;D;187584;65A;D;86;02G;71;1;6;
5F08F187586;F;08;F;187586;76A;V; ; ; ; ; ;
5F07F187625;F;07;F;187625;65A;M;86; ; ;1;1;
5F07D187640;F;07;D;187640;65A;P;89;03G;72;1;5;
5F07D187646;F;07;D;187646;65A;S;86;03G;72;1;5;
5F07F187652;F;07;F;187652;65A;M;85;03G;72;1;6;
5F08D187680;F;08;D;187680;76A;A;46; ; ;3;5;
5F07D187700;F;07;D;187700;65A;J;46; ; ;1;6;
5F08F187723;F;08;F;187723;76A;M; ; ; ; ; ;
5F07F187732;F;07;F;187732;65A;M;82;02G;72;3;1;
5F07F187751;F;07;F;187751;65A; ; ; ; ; ; ;
5F07K187760;F;07;K;187760;65A; ; ; ; ; ; ;
5F07F187770;F;07;F;187770;65A;A;46;02G;74;1;1;
5F07F187822;F;07;F;187822;65A;M;89;01G;75;1;6;
5F07F187825;F;07;F;187825;65A; ; ; ; ; ; ;
5F07F187885;F;07;F;187885;65A;Y;42;03G;81;1;F;
5F07D187890;F;07;D;187890;65A;M;86;03G;81;1;F;
5F08D187987;F;08;D;187987;76A; ; ; ; ; ; ;
5F08D188015;F;08;D;188015;76A;S;45; ; ;1;6;
5F08D188079;F;08;D;188079;76A;J;46;03G;13;1;5;
5F07D188083;F;07;D;188083;65A;X;86;06G;13;1;6;
5F07F188085;F;07;F;188085;65A;K;85;03G;13;1;6;
5F07F188098;F;07;F;188098;65A; ; ; ; ; ; ;
5F07U188102;F;07;U;188102;65A; ; ; ; ; ; ;
5F08F188106;F;08;F;188106;76A;J;45;03G;13;1;1;
5F08F188111;F;08;F;188111;76A;M;86;03G;13; ;6;
5F08F188141;F;08;F;188141;76A; ; ; ; ; ; ;
5F07U188157;F;07;U;188157;65A;A;85; ; ;3;1;
5F07F188190;F;07;F;188190;65A;M;86;06G;15;1;6;
5F07F188252;F;07;F;188252;65A; ; ; ; ; ; ;
5F08D188268;F;08;D;188268;76A; ; ; ; ; ; ;
5F08F188277;F;08;F;188277;76A;J;85;06G;22;1;1;
5F07F188283;F;07;F;188283;65A; ; ; ; ; ; ;
5F08F188309;F;08;F;188309;76A; ; ; ; ; ; ;
5F07U188311;F;07;U;188311;65A;V;86;06G;23;3;6;
5F07U188312;F;07;U;188312;65A;M;82;06G;23;2;6;
5F08F188313;F;08;F;188313;76A;A;89;06G;23;1;6;
5F07F188321;F;07;F;188321;65A;H;86;06G;23;1;1;
5F07F188377;F;07;F;188377;65A; ; ; ; ; ; ;
5F08F188380;F;08;F;188380;76A; ; ;03G;23; ; ;
5F07F188419;F;07;F;188419;65A;M;86;06G;24;1;6;
5F07K188424;F;07;K;188424;65A;M;85;06G;21;8;5;
5F07U188500;F;07;U;188500;65A;M;85;07G; ; ;1;
5F08F188625;F;08;F;188625;76A;J;86;06G;32;1;1;
5F07D188791;F;07;D;188791;65A;M;89;06G;36;1;6;
5F08D188797;F;08;D;188797;76A;J;85;03G;36; ; ;
5F08F188800;F;08;F;188800;76A;H;82; ; ;1;6;
5F07F188829;F;07;F;188829;65A; ; ; ; ; ; ;
5F08F188833;F;08;F;188833;76A; ; ; ; ; ; ;
5F07F188839;F;07;F;188839;65A; ; ; ; ; ; ;
5F08D188841;F;08;D;188841;76A; ; ; ; ; ; ;
5F07F188850;F;07;F;188850;65A; ; ; ; ; ; ;
5F07F188853;F;07;F;188853;65A; ; ; ; ; ; ;
5F08F188863;F;08;F;188863;76A; ; ; ; ; ; ;
5F08F188875;F;08;F;188875;76A; ; ; ; ; ; ;
5F07U188888;F;07;U;188888;65A; ; ; ; ; ; ;
5F07D188908;F;07;D;188908;65A; ; ; ; ; ; ;
5F07D188909;F;07;D;188909;65A;F;82;06G;51;1;6;
5F07K188912;F;07;K;188912;65A; ; ; ; ; ; ;
5F07F188914;F;07;F;188914;65A; ; ; ; ; ; ;
5F08D188923;F;08;D;188923;76A; ; ; ; ; ; ;
5F07D188924;F;07;D;188924;65A; ; ; ; ; ; ;
5F07F188929;F;07;F;188929;65A; ; ; ; ; ; ;
5F08F188934;F;08;F;188934;76A; ; ; ; ; ; ;
5F07D188971;F;07;D;188971;65A; ; ; ; ; ; ;
5F08D188997;F;08;D;188997;76A;P;89;03G;61;1;6;
5F07D189058;F;07;D;189058;65A; ; ; ; ; ; ;
5F08D189064;F;08;D;189064;76A;X;86;03G;63;1;5;
5F07F189139;F;07;F;189139; ; ; ; ; ; ; ;
5F08D189180;F;08;D;189180;76A;X;86;06G;71;1;5;
5F07F189183;F;07;F;189183;65A;3;86;06G;71;1;6;
5F07D189267;F;07;D;189267;65A;S;46; ; ;1;6;
5F07D189310;F;07;D;189310;65A; ; ; ; ; ; ;
5F07D189312;F;07;D;189312;65A; ; ; ; ; ; ;
5F07F189329;F;07;F;189329;65A; ; ; ; ; ; ;
5F07F189332;F;07;F;189332;65A;F;82; ;74;H;5;
5F07F189469;F;07;F;189469;65A; ; ; ; ; ; ;
5F07U189535;F;07;U;189535;65A;H;86; ; ;3;1;
5F07F189594;F;07;F;189594;65A; ; ; ; ; ; ;
5F08U189648;F;08;U;189648;76A;3;85; ; ;3;6;
5F08D189707;F;08;D;189707;76A;P;89;06G;13;1;5;
5F08F189803;F;08;F;189803;76A; ; ; ; ; ; ;
5F08U189863;F;08;U;189863;76A;F;82; ; ;3;6;
5F07D189889;F;07;D;189889;65A;J;85;07G;21;1;5;
5F08D189919;F;08;D;189919;76A; ; ;07G; ; ; ;
5F07F189934;F;07;F;189934;65A;J;86;07G;22;1;6;
5F07D189949;F;07;D;189949;65A;F;82; ; ; ; ;
5F08D189971;F;08;D;189971;76A; ; ;07G;24; ; ;
5F08F190013;F;08;F;190013;76A;I;46;07G;25;1;6;
5F07F190130;F;07;F;190130;65A;P;86; ; ;1;6;
5F07F190314;F;07;F;190314;65A; ; ; ; ; ; ;
5F08D190341;F;08;D;190341;76A; ; ; ; ; ; ;
5F07F190344;F;07;F;190344;65A; ; ; ; ; ; ;
5F07F190349;F;07;F;190349;65A; ; ; ; ; ; ;
5F07F190350;F;07;F;190350;65A; ; ; ; ; ; ;
5F08D190353;F;08;D;190353;76A; ; ; ; ; ; ;
5F07U190354;F;07;U;190354;65A;J;86; ; ;3;1;
5F08F190358;F;08;F;190358;76A; ; ; ; ; ; ;
5F07F190362;F;07;F;190362;65A; ; ; ; ; ; ;
5F07D190369;F;07;D;190369;65A; ; ; ; ; ; ;
5F07F190375;F;07;F;190375;65A; ; ; ; ; ; ;
5F08F190376;F;08;F;190376;76A; ; ; ; ; ; ;
5F07D190379;F;07;D;190379;65A;P;86; ; ;1;6;
5F08D190384;F;08;D;190384;76A; ; ; ; ; ; ;
5F07D190385;F;07;D;190385;65A; ; ; ; ; ; ;
5F08D190402;F;08;D;190402;76A;F;42;07G;52;1;5;
5F08D190405;F;08;D;190405;76A; ; ; ; ; ; ;
5F07F190406;F;07;F;190406;65A; ; ; ; ; ; ;
5F08F190408;F;08;F;190408;76A; ; ; ; ; ; ;
5F07F190410;F;07;F;190410;65A;P;89;07G;52;1;1;
5F08U190423;F;08;U;190423;76A; ; ; ; ; ; ;
5F07D190455;F;07;D;190455;65A;F;42;07G;53;1;6;
5F07F190463;F;07;F;190463;65A; ; ; ; ; ; ;
5F07F190469;F;07;F;190469;65A;J;86; ; ;1;6;
5F07F190475;F;07;F;190475;65A; ; ; ; ; ; ;
5F08F190476;F;08;F;190476;76A; ; ;07G;55; ; ;
5F07F190510;F;07;F;190510;65A;J;86; ; ;1;6;
5F07F190604;F;07;F;190604;65A;M;85;03G;62;1;6;
5F07F190606;F;07;F;190606;65A;H;86; ; ;1;6;
5F07F190644;F;07;F;190644;65A;M;86; ; ;1;6;
5F07F190651;F;07;F;190651;65A;K;86;07G;63;1;6;
5F07D190680;F;07;D;190680;65A; ; ; ; ; ; ;
5F07D190774;F;07;D;190774;65A; ; ; ; ; ; ;
5F07D190775;F;07;D;190775;65A;F;42;03G;12;6;6;
5F07F190789;F;07;F;190789;65A;M;89;07G;13;1;6;
5F07D190810;F;07;D;190810;65A;P;89;07G;71;1;6;
5F08F190822;F;08;F;190822;76A;P; ; ; ; ; ;
5F07D190827;F;07;D;190827;65A; ; ; ; ; ; ;
5F07U190833;F;07;U;190833;65A;M;86; ; ; ; ;
5F07F190836;F;07;F;190836;65A;J;86; ; ; ;6;
5F08F190840;F;08;F;190840;76A;M; ; ; ; ; ;
5F07D190891;F;07;D;190891;65A;3;86;07G;72;1;5;
5F07U190905;F;07;U;190905;65A; ; ; ; ; ; ;
5F07D190907;F;07;D;190907;65A; ; ;07G;73; ; ;
5F07F190989;F;07;F;190989;65A; ; ; ; ; ; ;
5F07D190990;F;07;D;190990;65A;P;89;10G; ;1;6;
5F08F191042;F;08;F;191042;76A;J;26;08G;65;1;6;
5F07F191057;F;07;F;191057;65A;J;86;07G; ;1;6;
5F07U191191;F;07;U;191191;65A;S;89;06G;11;3;1;
5F08F191277;F;08;F;191277;76A;P; ; ; ; ; ;
5F08D191297;F;08;D;191297;76A; ; ; ; ; ; ;
5F08F191351;F;08;F;191351; ; ; ;08G; ; ; ;
5F07U191426;F;07;U;191426;65A; ; ; ; ; ; ;
5F07D191440;F;07;D;191440;65A;Y;82; ; ;1;6;
5F08F191460;F;08;F;191460; ; ; ; ; ; ; ;
5F07F191469;F;07;F;191469;65A; ; ; ; ; ; ;
5F08F191522;F;08;F;191522;76A; ; ; ; ; ; ;
5F07F191527;F;07;F;191527;65A;K;86;08G;23;1;6;
5F08F191548;F;08;F;191548;76A; ; ;08G;23; ; ;
5F08U191560;F;08;U;191560;76A;A;56;07G;23;3;6;
5F07F191613;F;07;F;191613;65A; ; ; ; ; ; ;
5F08D191630;F;08;D;191630;76A;J;45;10G;21;6;5;
5F07D191643;F;07;D;191643;65A;3;56;08G;25;1;6;
5F07U191661;F;07;U;191661;65A;M; ; ; ; ; ;
5F08D191707;F;08;D;191707;76A; ; ;07G;26; ; ;
5F08U191931;F;08;U;191931;76A;F;82;08G;34;3;6;
5F08F191948;F;08;F;191948;76A; ; ; ; ;1;6;
5F08D191995;F;08;D;191995;76A;3;85;03G;36;1;6;
5F07F192016;F;07;F;192016;65A; ; ; ; ; ; ;
5F07F192019;F;07;F;192019;65A; ; ; ; ; ; ;
5F07F192024;F;07;F;192024;65A;M;82;08G;41;1;6;
5F08D192039;F;08;D;192039;76A; ; ; ; ; ; ;
5F07F192047;F;07;F;192047;65A; ; ; ; ; ; ;
5F07D192053;F;07;D;192053;65A; ; ; ; ; ; ;
5F07F192082;F;07;F;192082;65A; ; ; ; ; ; ;
5F07F192087;F;07;F;192087;65A; ; ; ; ; ; ;
5F08F192092;F;08;F;192092;76A;P;89;08G;43;1;1;
5F07D192097;F;07;D;192097;65A; ; ; ; ; ; ;
5F07U192102;F;07;U;192102;65A; ; ; ; ; ; ;
5F07F192125;F;07;F;192125;65A; ; ; ; ; ; ;
5F07F192138;F;07;F;192138;65A;X;86; ; ;1;6;
5F08F192151;F;08;F;192151;76A; ; ;07G;44; ; ;
5F07F192166;F;07;F;192166;65A; ; ; ; ; ; ;
5F07F192167;F;07;F;192167;65A; ; ; ; ; ; ;
5F08F192184;F;08;F;192184;76A; ; ; ; ; ; ;
5F07F192185;F;07;F;192185;65A; ; ; ; ; ; ;
5F08F192187;F;08;F;192187;76A; ; ; ; ; ; ;
5F07D192218;F;07;D;192218;65A; ; ; ; ; ; ;
5F08D192290;F;08;D;192290;76A;J; ; ; ; ; ;
5F08D192342;F;08;D;192342;65A;A;46;07G;71;1;6;
5F07F192367;F;07;F;192367;65A;F;82;09G;63;1;6;
5F07F192383;F;07;F;192383;65A; ; ; ; ; ; ;
5F07F192395;F;07;F;192395;65A;M;56;09G;14;1;5;
5F07F192432;F;07;F;192432;65A;F;82;08G;71;1;6;
5F07D192503;F;07;D;192503;65A; ; ; ; ; ; ;
5F07U192522;F;07;U;192522;65A;M;82;08G;71;3;1;
5F08D192537;F;08;D;192537;76A;3;86;08G;72;1;6;
5F07U192558;F;07;U;192558;65A; ; ; ; ; ; ;
5F07D192567;F;07;D;192567;65A; ; ; ; ; ; ;
5F07U192596;F;07;U;192596;65A; ; ; ; ; ; ;
5F08D192653;F;08;D;192653;76A;K;82;06G;33;1;6;
5F07U192668;F;07;U;192668;65A; ; ; ; ; ; ;
5F08F192691;F;08;F;192691;76A;F;82;08G;33;1;1;
5F08F192843;F;08;F;192843;76A;J; ; ; ; ; ;
5F08F192903;F;08;F;192903;76A;M;85;09G;13;1;8;
5F07F192941;F;07;F;192941;65A;J;86;08G;17;1;6;
5F07U192949;F;07;U;192949;65A; ; ; ; ; ; ;
5F07F193137;F;07;F;193137;65A;H;42;10G;23;A;6;
5F08U193147;F;08;U;193147;76A;J; ; ; ; ; ;
5F08D193174;F;08;D;193174;76A;M;86;08G;23;1;5;
5F07F193180;F;07;F;193180;65A;M;85;07G;23;1;1;
5F08D193200;F;08;D;193200;76A;H;82;09G;24;1;6;
5F07D193212;F;07;D;193212;65A;P;86;09G;24;1;6;
5F08D193239;F;08;D;193239;76A;S;89;09G;25;1;5;
5F08U193264;F;08;U;193264;76A;M;86;09G;31;3;6;
5F08F193321;F;08;F;193321;76A; ; ; ; ; ; ;
5F07D193364;F;07;D;193364;65A; ; ; ; ; ; ;
5F07F193380;F;07;F;193380;65A;J;45; ; ;1;6;
5F08U193430;F;08;U;193430;76A;A;46;09G;34;3;6;
5F07D193488;F;07;D;193488;65A; ; ; ; ; ; ;
5F08U193512;F;08;U;193512;76A; ; ; ; ; ; ;
5F07U193522;F;07;U;193522;65A; ; ; ; ; ; ;
5F07F193524;F;07;F;193524;65A; ; ; ; ; ; ;
5F07U193527;F;07;U;193527;65A; ; ; ; ; ; ;
5F08F193531;F;08;F;193531;76A;V;86;09G;43;1;6;
5F07U193532;F;07;U;193532;65A; ; ; ; ; ; ;
5F07F193533;F;07;F;193533;65A; ; ; ; ; ; ;
5F07D193534;F;07;D;193534;65A; ; ; ; ; ; ;
5F08D193536;F;08;D;193536;76A; ; ; ; ; ; ;
5F07F193537;F;07;F;193537;65A; ; ; ; ; ; ;
5F08F193539;F;08;F;193539;76A; ; ; ; ; ; ;
5F07D193544;F;07;D;193544;65A; ; ; ; ; ; ;
5F07F193546;F;07;F;193546;65A; ; ; ; ; ; ;
5F07D193547;F;07;D;193547;65A; ; ; ; ; ; ;
5F07F193549;F;07;F;193549;65A; ; ; ; ; ; ;
5F07D193557;F;07;D;193557;65A; ; ; ; ; ; ;
5F07F193570;F;07;F;193570;65A; ; ; ; ; ; ;
5F07D193573;F;07;D;193573;65A; ; ; ; ; ; ;
5F08F193577;F;08;F;193577;76A;V;86;09G;45;1;6;
5F07F193583;F;07;F;193583;65A; ; ; ; ; ; ;
5F07D193585;F;07;D;193585;65A; ; ; ; ; ; ;
5F07F193586;F;07;F;193586;65A;J;85; ; ;1;1;
5F08D193632;F;08;D;193632;76A;B;46;09G;53;1;6;
5F08D193644;F;08;D;193644;76A;X;46;09G;53;1;5;
5F07F193652;F;07;F;193652;65A; ; ; ; ; ; ;
5F07U193653;F;07;U;193653;65A; ; ; ; ; ; ;
5F08F193656;F;08;F;193656;76A;F;42;09G;54;1;1;
5F07F193770;F;07;F;193770;65A; ; ; ; ; ; ;
5F08F193777;F;08;F;193777;76A; ; ; ; ; ; ;
5F07F193780;F;07;F;193780;65A; ; ; ; ; ; ;
5F08F193793;F;08;F;193793;76A;P; ; ; ; ; ;
5F07D193794;F;07;D;193794;65A; ; ; ; ; ; ;
5F07D193838;F;07;D;193838;65A;Z;86;09G;71;1;6;
5F07U193920;F;07;U;193920;65A;F;42; ; ;1;5;
5F08D194035;F;08;D;194035;76A;F;82;09G;75;1;6;
5F07F194042;F;07;F;194042;65A;B;46;09G;75;1;6;
5F07D194165;F;07;D;194165;65A;P;89;11G;12;1;5;
5F07F194169;F;07;F;194169;65A;F;42; ; ;1;6;
5F07D194389;F;07;D;194389;65A;X;86;11G;21;1;6;
5F07F194465;F;07;F;194465;65A;H;42; ; ;1;6;
5F07D194485;F;07;D;194485;65A;M;49;10G;24;1;6;
5F07D194494;F;07;D;194494;65A;M;82; ; ;1;6;
5F07F194527;F;07;F;194527;65A;A;46; ; ;1;6;
5F07D194533;F;07;D;194533;65A;F;82;11G;24;1;6;
5F08F194577;F;08;F;194577;76A; ; ; ; ; ; ;
5F08D194785;F;08;D;194785;76A;J;45;11G; ;1;5;
5F07U194885;F;07;U;194885;65A;J;46; ; ; ; ;
5F07D194895;F;07;D;194895;65A; ; ; ; ; ; ;
5F07D194903;F;07;D;194903;65A; ; ; ; ; ; ;
5F07D194909;F;07;D;194909;65A; ; ; ; ; ; ;
5F07F194916;F;07;F;194916;65A; ; ; ; ; ; ;
5F07F194941;F;07;F;194941;65A; ; ; ; ; ; ;
5F07F194943;F;07;F;194943;65A; ; ; ; ; ; ;
5F08D194951;F;08;D;194951;76A;S;86; ; ;1;5;
5F08D194966;F;08;D;194966;76A; ; ; ; ; ; ;
5F07D194970;F;07;D;194970;65A; ; ; ; ; ; ;
5F07D194972;F;07;D;194972;65A; ; ; ; ; ; ;
5F07D194974;F;07;D;194974;65A; ; ; ; ; ; ;
5F08F194986;F;08;F;194986;76A; ; ; ; ; ; ;
5F07D194988;F;07;D;194988;65A; ; ; ; ; ; ;
5F07F194989;F;07;F;194989;65A; ; ; ; ; ; ;
5F08D194994;F;08;D;194994;76A; ; ; ; ; ; ;
5F07D194995;F;07;D;194995;65A; ; ; ; ; ; ;
5F07F194999;F;07;F;194999;65A; ; ; ; ; ; ;
5F07F195004;F;07;F;195004;65A; ; ; ; ; ; ;
5F07F195007;F;07;F;195007;65A; ; ; ; ; ; ;
5F07D195020;F;07;D;195020;65A; ; ; ; ; ; ;
5F07D195022;F;07;D;195022;65A; ; ; ; ; ; ;
5F07K195030;F;07;K;195030;65A; ; ; ; ; ; ;
5F08F195031;F;08;F;195031;76A; ; ; ; ; ; ;
5F07D195038;F;07;D;195038;65A; ; ; ; ; ; ;
5F07F195041;F;07;F;195041;65A; ; ; ; ; ; ;
5F07D195054;F;07;D;195054;65A;A;85;11G;51;1;5;
5F07D195072;F;07;D;195072;65A; ; ; ; ; ; ;
5F07U195073;F;07;U;195073;65A; ; ; ; ; ; ;
5F07U195076;F;07;U;195076;65A; ; ; ; ; ; ;
5F08D195078;F;08;D;195078;76A; ; ; ; ; ; ;
5F07D195080;F;07;D;195080;65A; ; ; ; ; ; ;
5F07D195085;F;07;D;195085;65A; ; ; ; ; ; ;
5F07D195087;F;07;D;195087;65A;P;89; ; ;1;5;
5F08D195090;F;08;D;195090;76A; ; ; ; ; ; ;
5F07U195116;F;07;U;195116;65A;X;86; ; ; ; ;
5F08D195121;F;08;D;195121;76A;J;86;10G;54;1;5;
5F07F195126;F;07;F;195126;65A; ; ; ; ; ; ;
5F08U195146;F;08;U;195146;76A; ; ; ; ; ; ;
5F07F195174;F;07;F;195174;65A; ; ; ; ; ; ;
5F07F195175;F;07;F;195175;65A;J;85; ; ;1;6;
5F07U195177;F;07;U;195177;65A;X;86; ; ; ;6;
5F07F195209;F;07;F;195209;65A;F;82;10G;62;1;6;
5F07F195237;F;07;F;195237;65A;J;85;10G;63;1;6;
5F08U195363;F;08;U;195363;76A;M;85;10G;71;3;6;
5F08D195384;F;08;D;195384;76A;J;86; ; ;1;6;
5F08D195396;F;08;D;195396;76A;V;86;10G;71;1;5;
5F07D195400;F;07;D;195400;65A;M;86;10G;71;1;6;
5F07F195469;F;07;F;195469;65A;M;86;10G;71;1;6;
5F07C195474;F;07;C;195474; ; ; ; ; ; ; ;
5F08D195490;F;08;D;195490;76A;P;89;10G;71;1;6;
5F07F195516;F;07;F;195516;65A;K;85; ; ;1;6;
5F08D195559;F;08;D;195559;76A;F;86; ; ;1;6;
5F07F195604;F;07;F;195604;65A; ; ; ; ; ; ;
5F07U195606;F;07;U;195606;65A;A;85; ; ; ;1;
5F07D195620;F;07;D;195620;65A;X;86; ; ;1;6;
5F07U195641;F;07;U;195641;65A;M;26;23G;65;3;1;
5F07D195650;F;07;D;195650;65A; ;89; ; ;1;6;
5F08D195659;F;08;D;195659;76A;D;86;11G;72;1;6;
5F07U195663;F;07;U;195663;65A;J;56; ; ;3;1;
5F07U195671;F;07;U;195671;65A; ; ; ; ; ; ;
5F07U195675;F;07;U;195675;65A; ; ; ; ; ; ;
5F08D195678;F;08;D;195678;76A;3;46;10G;73;1;6;
5F07D195720;F;07;D;195720;65A;F;42;10G;74;1;5;
5F07U195749;F;07;U;195749;65A;M;49;10G; ; ;6;
5F07F195750;F;07;F;195750;65A;J;85; ; ;1;6;
5F07U195755;F;07;U;195755;65A;M;42; ; ;3;1;
5F07U195758;F;07;U;195758;65A;V;86; ; ;3;6;
5F08D195813;F;08;D;195813;76A;M;85;10G;81;I;F;
5F08D195834;F;08;D;195834;76A;S;89; ; ;1;6;
5F07U195857;F;07;U;195857;65A;D;82; ; ;3;6;
5F08F195880;F;08;F;195880;76A;P;86;09G;11;1;6;
5F07F195925;F;07;F;195925;65A;K;85;13G;12;1;6;
5F08F195966;F;08;F;195966;76A;3;86;13G;13;1;1;
5F08U195995;F;08;U;195995;76A; ; ; ; ;1;1;
5F07K196056;F;07;K;196056;65A;M;86 6 86;11G;13;9;5;
5F08D196066;F;08;D;196066;76A;M;85;11G;13;1;6;
5F08K196108;F;08;K;196108;65A;M;85;13F;23;8;5;
5F08F196190;F;08;F;196190;76A; ; ; ; ; ; ;
5F07U196222;F;07;U;196222;65A;Y;86; ; ;3;6;
5F07D196238;F;07;D;196238;65A;J;86; ;21;1;6;
5F07F196241;F;07;F;196241;65A;A;46; ; ;1;6;
5F08F196276;F;08;F;196276;76A;V;86;13G;22;1;1;
5F08F196277;F;08;F;196277;76A;X;46;13G;22;1;6;
5F07F196290;F;07;F;196290;65A;Y;42;13G;22;1;6;
5F07F196328;F;07;F;196328;65A;B;86;11G;23;1;1;
5F07F196429;F;07;F;196429;65A;M;86; ; ;1;3;
5F07D196447;F;07;D;196447;65A;K;85;11G;26;1;6;
5F07F196453;F;07;F;196453;65A; ; ; ; ; ; ;
5F08F196459;F;08;F;196459;76A;J;45;10G;34;1;1;
5F07F196471;F;07;F;196471;65A;F;82;11G;26;1;1;
5F07F196497;F;07;F;196497;65A; ; ; ; ; ; ;
5F08F196499;F;08;F;196499;76A;J;45;11G;26;1;6;
5F08F196559;F;08;F;196559;76A;A;89;13G;31;1;1;
5F07D196584;F;07;D;196584;65A;X;89;11G;32;1;5;
5F08F196687;F;08;F;196687;76A; ; ; ; ; ; ;
5F08F196734;F;08;F;196734;76A;J;45;10G;34;1;1;
5F07F196741;F;07;F;196741;65A;J;86;13G;34;1;6;
5F07F196833;F;07;F;196833;65A;D;86; ; ;1;6;
5F07F196854;F;07;F;196854;65A; ; ; ; ; ; ;
5F07F196856;F;07;F;196856;65A; ; ; ; ; ; ;
5F08F196912;F;08;F;196912;76A; ; ; ; ; ; ;
5F08F196918;F;08;F;196918;76A; ; ; ; ; ; ;
5F07F196922;F;07;F;196922;65A; ; ; ; ; ; ;
5F07F196926;F;07;F;196926;65A; ; ; ; ; ; ;
5F08F196927;F;08;F;196927;76A; ; ; ; ; ; ;
5F08F196931;F;08;F;196931;76A;3;46;13G;43;1;1;
5F07F196933;F;07;F;196933;65A; ; ; ; ; ; ;
5F07D196936;F;07;D;196936;65A; ; ; ; ; ; ;
5F07F196937;F;07;F;196937;65A; ; ; ; ; ; ;
5F07F196949;F;07;F;196949;65A; ; ; ; ; ; ;
5F07F196953;F;07;F;196953;65A; ; ; ; ; ; ;
5F07F196964;F;07;F;196964;65A; ; ; ; ; ; ;
5F08D196969;F;08;D;196969;76A; ; ; ; ; ; ;
5F07F196976;F;07;F;196976;65A; ; ; ; ; ; ;
5F07U197005;F;07;U;197005;65A; ; ; ; ; ; ;
5F07D197007;F;07;D;197007;65A; ; ; ; ; ; ;
5F07U197012;F;07;U;197012;65A; ; ; ; ; ; ;
5F08D197014;F;08;D;197014;76A; ; ; ; ; ; ;
5F07F197028;F;07;F;197028;65A;F;42;13G;53;1;6;
5F09D197050;F;09;D;197050;65A;3;89;13G;53;1;6;
5F07F197058;F;07;F;197058;65A; ; ; ; ; ; ;
5F08D197061;F;08;D;197061;76A;F;82;13G;54;1;5;
5F07F197062;F;07;F;197062;65A; ; ; ; ; ; ;
5F07F197090;F;07;F;197090;65A; ; ; ; ; ; ;
5F08D197180;F;08;D;197180;76A;J;86; ; ;1;5;
5F08F197192;F;08;F;197192;76A;J;85;10G;75;1;1;
5F08U197196;F;08;U;197196;76A;3;85;08F; ; ;1;
5F07F197249;F;07;F;197249;65A;A;85;10G;64;1;1;
5F07F197307;F;07;F;197307;65A;P;86; ; ;1;6;
5F08D197379;F;08;D;197379;76A;V;86; ; ;1;5;
5F07U197384;F;07;U;197384;65A; ; ; ; ; ; ;
5F08U197410;F;08;U;197410;76A;F;82;13G;75;3;1;
5F07D197419;F;07;D;197419;65A;M;42; ; ;1;6;
5F08D197423;F;08;D;197423;76A; ; ; ; ; ; ;
5F08D197518;F;08;D;197518;76A;H;86;10G;11;1;5;
5F08F197632;F;08;F;197632;76A;N;42;13G;14;1;6;
5F08U197682;F;08;U;197682;76A;P;49;14G;15;3;1;
5F08D197744;F;08;D;197744;76A;M;86;14G;21;1;5;
5F08D197760;F;08;D;197760;76A;J;85;14G;21;1;5;
5F07D197791;F;07;D;197791;65A;H;82;14G;22;1;6;
5F07D197812;F;07;D;197812;65A;V;86;13G;23;1;5;
5F07U197867;F;07;U;197867;65A;P;89;14G;24;3;1;
5F07K197905;F;07;K;197905;65A;K;86;13G;25;8;5;
5F08D197914;F;08;D;197914;76A;F;82;13G;25;1;6;
5F07D197923;F;07;D;197923;65A; ; ; ; ; ; ;
5F07D198010;F;07;D;198010;65A; ; ; ; ; ; ;
5F08F198038;F;08;F;198038;76A; ; ; ; ; ; ;
5F07F198062;F;07;F;198062;65A; ; ; ; ; ; ;
5F07F198076;F;07;F;198076;65A;J; ; ; ;1;6;
5F08U198197;F;08;U;198197;76A;J;86;13G;33;3;1;
5F07F198214;F;07;F;198214;65A; ; ; ; ; ; ;
5F07D198262;F;07;D;198262;65A; ; ; ; ; ; ;
5F07U198308;F;07;U;198308;5A;V;86;14G;36;3;1;
5F07F198335;F;07;F;198335;65A; ; ; ; ; ; ;
5F07D198337;F;07;D;198337;65A; ; ; ; ; ; ;
5F07U198394;F;07;U;198394;65A; ; ; ; ; ; ;
5F07D198401;F;07;D;198401;65A; ; ; ; ; ; ;
5F07D198415;F;07;D;198415;65A; ; ; ; ; ; ;
5F07F198416;F;07;F;198416;65A; ; ; ; ; ; ;
5F08D198439;F;08;D;198439;76A;M;46;13G;44;1;6;
5F07F198441;F;07;F;198441;65A; ; ; ; ; ; ;
5F07F198442;F;07;F;198442;65A; ; ; ; ; ; ;
5F07F198444;F;07;F;198444;65A; ; ; ; ; ; ;
5F08D198453;F;08;D;198453;76A;3;46; ; ;1;6;
5F07F198456;F;07;F;198456;65A; ; ; ; ; ; ;
5F07D198467;F;07;D;198467;65A;M;46;14G;45;1;6;
5F07U198480;F;07;U;198480;65A; ; ; ; ; ; ;
5F08D198482;F;08;D;198482;76A; ; ; ; ; ; ;
5F07D198500;F;07;D;198500;65A; ; ; ; ; ; ;
5F07D198501;F;07;D;198501;65A; ; ; ; ; ; ;
